H_real_0,H_real_1,H_real_2,H_real_3,H_real_4,H_real_5,H_real_6,H_real_7,H_imag_0,H_imag_1,H_imag_2,H_imag_3,H_imag_4,H_imag_5,H_imag_6,H_imag_7,x_real_0,x_real_1,x_imag_0,x_imag_1,y_real_0,y_real_1,y_real_2,y_real_3,y_imag_0,y_imag_1,y_imag_2,y_imag_3
-0.5381956246365643,1.6579599268383103,2.0057028217261728,-1.927162212036852,-5.28640363520979,0.15770289561578638,-5.040951113149102,-1.0694898147820056,-5.397908526839039,3.9870908516004144,-2.828768974541148,-0.7273146558192787,-1.9779591148655282,2.6372625760514974,-3.187907769849735,1.698724570738049,-0.29309372774139264,-0.5863294711910123,-0.28721060250366526,0.3993528954742281,-3.6014552995168128,0.6734663538600546,0.5986287380860308,-0.4198015737033107,0.13695977031767445,-0.7124235573550693,0.4590391534682145,0.632793127193322
-2.1869869090206113,2.7283127090661337,1.4794827368775827,3.602839740669964,-0.1784963059559451,-2.9817025247994193,-1.6804091411206228,-1.4262504272122536,0.2884403580693186,4.374159483716753,0.33555465645933324,-5.713290387610396,4.071340175957769,-2.7444766292170897,-5.625747623988403,2.0357770082233575,-1.0776452149778635,-0.5414212344302045,1.728321558897986,1.1608369676728458,-7.298344856518499,-0.23259245117448968,-2.722629623536246,9.290326726091198,-5.209874585137462,8.22430064329245,-7.471521882794757,0.8356383402361853
-3.134607226773366,2.1223106567255754,-2.095314391520296,-1.5796696057920105,5.911078144982851,0.5632953826899016,1.1456752910289205,0.018819159612788055,-1.5605436001638902,-2.7219029868632485,1.97411837693338,-1.460989646787208,0.5476200083240277,0.724857718280771,0.027651805872513893,2.219190595346489,0.038716840365768314,0.18140451545515918,0.22772964291594366,0.3678348158243952,1.2455901239556004,-0.42461000812079297,-0.8452284679064869,-0.8949065332544224,-0.6417752074713008,-0.7253023260490601,1.5995798574689681,0.14335641103583985
4.304054503114902,1.1610933546069335,2.9408952943643865,-1.3069460786069556,-5.901096876232841,3.134037236261416,4.116874513560465,-1.1359154331923422,-3.961316735238386,4.757669807935145,2.4755195914484,-1.5009039227335355,5.754321408172006,0.26495336390773994,0.3014223144056751,0.6267508335271715,0.3570462697996191,0.0883791775168694,0.48370845246432664,-1.0962177347383635,6.473498289352671,-0.16625628834416295,-4.7945064290445885,3.0145603626564084,0.21025985589531804,5.473409583844328,-6.520605413306244,4.92655348430564
1.482620972111181,-2.647258527825211,2.951323734393576,-0.11242622566779968,2.121405333323137,-0.9866111769229681,-0.6665292501669146,-0.9534181444997842,-0.5979453111747154,0.2686944121289788,-0.769012056823194,1.0589887003689578,-4.484809846158521,-2.740906352127383,-4.811756127046561,0.26169376692690055,0.9433387450776644,1.2404501464086182,-0.023906672046458584,1.2330810680495794,-0.4382250898141209,-0.015306323322106685,4.472745176995243,-1.739608531194509,-5.801843785322507,1.5922485594551072,-8.95217567702616,-5.820174783130737
-0.26262597173828905,2.162201097986732,-1.5619858032657572,-4.146612859090748,-1.1342187312058032,-2.6671178019168478,-0.6336372174915841,-2.4072734581195454,-2.990260289933048,-8.883574191579681,4.113638300121606,3.1646308866378776,-0.028711594149064185,-6.517467578768479,2.073191222004529,-2.6894496178884655,-0.016501779546264108,-0.24916845574346963,-0.28631345870166597,-0.3033654310071519,-3.8020473931726446,3.704252677041962,-0.807876100904228,0.31150923326290786,1.6468444881007216,1.8579740346137839,3.5302093007243243,1.6480812560377571
1.483154563495398,-4.597490703605569,2.749625052502885,-4.479193905947951,-4.2422389110772105,0.19919977342197462,-0.34453298808427657,3.084296280639808,0.5613784056178402,6.252665541213341,-2.1069330606014485,-2.1550077036749644,3.349293752157014,2.314542559035782,1.8944744421768338,0.00035954408364979114,0.897747720460829,0.7491361301855286,-0.5646762318546444,-0.523471136101321,4.157562908572514,-3.3507063602814124,-1.5984209535281855,3.2496867674152163,6.336211534458834,-1.8978581766839273,6.663302323722181,0.6226656119148062
-1.394066944345827,4.076937288947264,0.01298578812205459,1.0368202445856576,2.261970421513837,1.7772607532954647,-1.4851942703423273,-0.07981847709954146,-1.5010316883180128,-7.664874291248036,0.3497914152361118,-0.255700196364343,4.024673955918834,0.19461664849023066,2.487667922630152,3.392099765810752,0.2673443851714093,-0.5951897528074653,-0.17084651062706446,0.8745759612988132,2.9657466429626638,0.07934682373940533,-2.0993953046747493,-2.515604035680295,8.142879816089403,0.9165163427883176,0.830632891140523,-0.7750526992944462
1.04537798587347,0.6852483426366704,-0.7324638039730277,-0.8879064888479963,5.019598797770168,1.142315639713312,-0.8290716713252176,2.23719648406169,4.009157128549731,-3.443244323858285,-2.028364549036223,-0.4761814463550369,4.49660581121896,2.748541674021904,-2.709004850060914,-3.8037621029230344,0.5996505731632915,0.06438626983200975,-0.15503896173486106,0.38626293325525735,2.6183419524812748,-1.1287312741586353,3.1544856903855414,1.1273956117845,2.4931496489394895,-2.4350388714701228,1.9577726884804627,-2.3164240899952944
-0.6456215959957934,-0.27190616125124395,-3.0949369177182704,4.463939335667526,-0.8199294827043582,3.0165133927522527,-2.710724435919445,2.2403933994166882,-4.485720461576698,-2.108563480634423,-0.01092532208357899,-1.5210965308168662,3.1941008508131694,-2.705911745842466,-3.9111015955291317,-1.6327490551229824,-0.10749425046628279,0.2787851290522447,-0.3044619810407692,0.9897980431088483,-0.10012280228353021,4.633463211672122,5.455300556011512,-0.00207256899600039,-2.2394112597739726,4.3166938922710685,2.359903561886601,3.5944710721957795
